Material,Normalized_TEMP_Cels,Normalized_O2_PP_mtorr,Normalized_FREQ_Hz,MP,Density (g/cm3),Formation Energy (eV/atom),Molar Mass (g/mol),Weighted Avg Electronegativity,Wt Avg Atomic Number,Wt Avg Conductivity,Wt avg Radius,Wt avg Specific Heat(J/kg/K),Wt avg Ionisation(KJ/mol),Wt avg Hardness(MPa)
Bi1.5ZnNb1.5O7,666.67,94.3815,2.714285714,1190,5.817678571,,630.22,2.83272727,24.72727273,19.38055091,89.9,672.8,1103.304545,126.1181818
Bi2O3,416.67,85.8395,6,825,9.44,-1.659,465.96,2.872,38,3.215948,86,600.2,1069.54,37.68
Bi2Se3,313.33,370,3.5,710,7.4,-0.675,654.84,2.206,53.6,3.512,119,241.52,845.8,479.28
CuO,540,68.29,6.5,"1,232",5.94,-0.785,143.1,2.67,18.5,200.01329,96.5,651.7,1029.7,437
GaN,719.16,421.868,7.857142857,2500,4.84,0.064,83.73,2.425,19,14.512915,96,705.5,990.55,30
Gd2O3,582.28,32.1811,5.375,2420,7.63,-3.755,362.5,2.544,30.4,4.415948,122,647.4,1025.7,0
Ga2O3,616.67,15.147,6.833333333,1900,6.42,-2.084,187.44,2.788,17.2,11.615948,83.2,699.8,1019.86,24
In2O5Sn,385.71,55.31,8.571428571,287,7.19,-1.843,428.35,2.84,23.5,28.8916125,87.125,659.75,1049.3375,8.5825
ZnS,441.18,47.83,5.5,419.5,4.14,-0.962,97.44,2.115,23,60.1025,115,546.5,953,71
ZrO2,345,32.32,7.142857143,2715,6.03,-3.774,123.22,2.73666667,18.66666667,7.68438667,100.6666667,705.3333333,1089.3,216.6666667
Y2O3,592.18,23466.96,7.25,2425,5.03,-3.91,225.82,2.552,20.4,6.815948,113.6,670.6,1028.34,235.6
Fe5O12Y3,766.25,58.35,5.4,1500,4.95,-2.524,737.94,2.7045,17.15,22.565948,99.6,708.35,1068.965,210.85
SrRuO3,642.26,106.04,3.285714286,"1,625",6.2,-2.025,236.69,6.815948,21.2,31.015948,108.2,659,1040.28,432
Ta2O5,515.625,6.288,4.625,1872,7.81,-2.765,441.9,2.88571429,26.57142857,16.3047,91.42857143,696.4285714,1155.928571,228.5714286
TiN,542.85,17.971,4.5,2930,5.39,-1.943,61.88,2.29,14.5,11.012915,116,780,1030.55,358
WS2,553.34,157.66,5.2,1250,7.22,-0.882,247.96,2.50666667,35.33333333,56.80333333,123,514,923.0666667,856.6666667
SrCu2O2,380,7.746,9,1620.681818,5.61,-1.533,246.72,2.326,22.4,167.010632,121,581.36,933.66,349.6
YVO4,615.28,269.1678333,3.666666667,1825,4.59,-3.145,203.85,2.76833333,15.66666667,8.01772,95.83333333,743.8333333,1084.416667,202.8333333
Zn0.9Mg0.1O,491.67,30077.501,6.2,1620.681818,5.817678571,,77.273,2.528,18.1,62.01329,95.15,685.1,1101.715,198.4
SiC,479.175,0.00375,28.66666667,2730,3.17,-0.172,40.1,2.225,10,145,89,710,936.5,0
SiO2,485.71,52.127375,6.25,1710,1.68,-3.029,60.09,2.92666667,10,50.01772,69,849.3333333,1138.1,0
Mg0.5Zn0.5O,518.883,16.28266667,1.5,1620.681818,5.817678571,,60.845,2.46,14.5,70.01329,95.75,811.5,1067.975,168
LiFePO4,568,98.758,6.4,300,3.68,-2.477,156.76,2.68,10.85714286,23.62033143,87.57142857,1209.242857,1078.585714,70
LiMn2O4,625,195.0108,29.4,400,4.02,-2.047,180.82,2.54857143,12.14285714,14.38661714,97.28571429,1172,1030.057143,56
LiCoO2,610,139.2032,6.4,1620.681818,5.12,-1.744,97.87,2.435,11.5,46.26329,103.75,1457.25,977.1,175
In2O3(ZnO),372,5.0152,7,1920,6.42,-1.772,179.51,2.71,22.85714286,40.58661714,92.28571429,647.1428571,1039.8,61.38
K0.35Na0.65NbO3,682,169.1508889,5.4,1130,4.31,,169.539,2.5623,15.76,36.015948,110.11,817.29,1012.53,147.31511
Cu2O,588.34,1.929333333,7.833333333,1235,6.2,-0.503,143.1,2.41333333,22,266.6755267,112.6666667,562.6,934.9666667,582.6666667
Cr2O3,505,24.6664,7.4,2435,5.17,-2.364,151.992,2.728,14.4,37.615948,95.2,730.6,1049.5,448
a-C,537.5,70.29528571,19.28571429,1620.681818,2.1,,12.01,2.55,6,140,67,710,1086.5,0
Pt,500,24.5032,25.5,1768,21.13,0,195.08,2.28,78,72,177,133,870,392
CdS,395.13,1001.505,10,"1,750",5.75,-0.643,144.47,2.135,32,48.6025,124.5,467.5,933.7,101.5
LaNiO3,670.15,46945.20813,3.75,"1,034",4.89,-1.483,246.59587,2.666,21.8,20.815948,58.6,679.4,1043.38,212.6
MoS2,540.71,3.373,6.428571429,2375,4.77,-0.686,160.06,2.44,24.66666667,43.47,122,553.6666667,894.5,500
NiFe2O4,669,213.0168,12.8,1955,5.11,-1.506,234.39,2.76142857,16,35.87233143,93.28571429,717,1073.957143,240
